"filename", "language", "XML", "JSON", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "PowerShell", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\E-Commerce Website (Full)\backend\email-templates\order-delivered.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 10, 70
"c:\E-Commerce Website (Full)\backend\email-templates\order-placed.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 12, 83
"c:\E-Commerce Website (Full)\backend\email-templates\order-shipped.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 12, 81
"c:\E-Commerce Website (Full)\backend\email-templates\payment-approved.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 12, 81
"c:\E-Commerce Website (Full)\backend\jobs\cleanupInitiatedOrders.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 5, 19, 121
"c:\E-Commerce Website (Full)\backend\lib\dbConnect.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 10, 45
"c:\E-Commerce Website (Full)\backend\middleware\auth.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 4, 17, 111
"c:\E-Commerce Website (Full)\backend\middleware\authEnhanced.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\E-Commerce Website (Full)\backend\middleware\authMiddleware.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\E-Commerce Website (Full)\backend\middleware\gatekeeper.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 13, 22, 137
"c:\E-Commerce Website (Full)\backend\middleware\rateLimiter.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\E-Commerce Website (Full)\backend\middleware\validate.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\E-Commerce Website (Full)\backend\models\AbandonedCart.js", "JavaScript", 0, 0, 389, 0, 0, 0, 0, 0, 0, 0, 11, 45, 445
"c:\E-Commerce Website (Full)\backend\models\AdminActionLog.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"c:\E-Commerce Website (Full)\backend\models\Bundle.js", "JavaScript", 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 15, 39, 394
"c:\E-Commerce Website (Full)\backend\models\Contact.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\E-Commerce Website (Full)\backend\models\Event.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\E-Commerce Website (Full)\backend\models\Inventory.js", "JavaScript", 0, 0, 406, 0, 0, 0, 0, 0, 0, 0, 4, 35, 445
"c:\E-Commerce Website (Full)\backend\models\MessageLog.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\E-Commerce Website (Full)\backend\models\Newsletter.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\E-Commerce Website (Full)\backend\models\OneClickCheckout.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 11, 14, 165
"c:\E-Commerce Website (Full)\backend\models\Order.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 3, 15
"c:\E-Commerce Website (Full)\backend\models\Phase1Models.js", "JavaScript", 0, 0, 521, 0, 0, 0, 0, 0, 0, 0, 61, 73, 655
"c:\E-Commerce Website (Full)\backend\models\Phase2Models.js", "JavaScript", 0, 0, 696, 0, 0, 0, 0, 0, 0, 0, 79, 134, 909
"c:\E-Commerce Website (Full)\backend\models\Phase3Models.js", "JavaScript", 0, 0, 737, 0, 0, 0, 0, 0, 0, 0, 93, 174, 1004
"c:\E-Commerce Website (Full)\backend\models\Product.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 3, 3, 90
"c:\E-Commerce Website (Full)\backend\models\Recommendation.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
"c:\E-Commerce Website (Full)\backend\models\Review.js", "JavaScript", 0, 0, 400, 0, 0, 0, 0, 0, 0, 0, 10, 46, 456
"c:\E-Commerce Website (Full)\backend\models\User.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 8, 46
"c:\E-Commerce Website (Full)\backend\models\Wishlist.js", "JavaScript", 0, 0, 404, 0, 0, 0, 0, 0, 0, 0, 5, 50, 459
"c:\E-Commerce Website (Full)\backend\package-lock.json", "JSON", 0, 9611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9612
"c:\E-Commerce Website (Full)\backend\package-production.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\E-Commerce Website (Full)\backend\package.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"c:\E-Commerce Website (Full)\backend\routes\adminRoutes.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 7, 32
"c:\E-Commerce Website (Full)\backend\routes\analyticsRoutes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\E-Commerce Website (Full)\backend\routes\authRoutes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\E-Commerce Website (Full)\backend\routes\cartRoutes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\E-Commerce Website (Full)\backend\routes\contactRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\E-Commerce Website (Full)\backend\routes\healthRoutes.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 8, 68
"c:\E-Commerce Website (Full)\backend\routes\inventoryRoutes.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 6, 29
